Raman shift,Intensity
401.824,-9.48E-05
403.989,0.000308753
406.188,5.38E-05
408.386,7.66E-05
410.55,0.000777873
412.747,0.000757713
414.91,0.000833453
417.106,0.000923508
419.268,0.000973485
421.463,0.00062268
423.624,0.000140189
425.818,0.000669674
428.011,0.000957257
430.17,0.000955704
432.363,0.000899758
434.521,0.00128324
436.712,0.000664765
438.87,0.001298733
441.06,0.000897822
443.216,0.000481162
445.405,0.000619869
447.561,0.000296241
449.749,8.85E-05
451.937,0.000868493
454.09,0.001320649
456.277,0.000826665
458.43,-0.000113911
460.615,-0.000470499
462.767,0.000442526
464.952,0.000216175
467.102,-0.000270695
469.286,0.001110359
471.435,0.000697901
473.618,0.00012369
475.766,0.000389681
477.948,0.000379408
480.096,0.00040634
482.276,0.000245754
484.423,0.000284117
486.602,0.00071037
488.748,0.000681438
490.926,0.00172745
493.07,0.000647874
495.248,0.000634653
497.391,0.000661498
499.568,0.001047604
501.71,0.000680799
503.886,0.000929468
506.027,0.000559773
508.201,0.000703925
510.342,0.001002648
512.482,0.000524125
514.655,0.001153462
516.794,0.001087138
518.965,0.000588525
521.103,0.00184904
523.274,0.00082794
525.411,0.001789261
527.581,0.000985686
529.717,0.002035708
531.885,0.001163381
534.02,0.000452775
536.188,0.001373898
538.322,0.001825507
540.455,0.001194974
542.621,0.000887899
544.754,0.001296476
546.919,0.001722195
549.05,0.00134202
551.215,0.001282435
553.345,0.002196139
555.475,0.00190173
557.637,0.001804808
559.766,0.001463077
561.928,0.001944335
564.056,0.000934061
566.216,0.001403768
568.343,0.001648697
570.47,0.000920241
572.629,0.002135521
574.754,0.001349691
576.912,0.001517086
579.036,0.00147973
581.16,0.001346403
583.317,0.000667653
585.44,0.000910628
587.595,0.001213641
589.717,0.001107203
591.839,0.000921955
593.993,0.000709424
596.113,0.000413782
598.233,0.001031258
600.385,0.000368996
602.504,0.00064561
604.656,0.000502729
606.774,0.000123565
608.891,9.09E-06
611.041,-0.000179923
613.158,0.000618586
615.273,-0.000196176
617.422,0.000769558
619.537,0.00114401
621.684,0.001272138
623.798,0.000522706
625.912,0.000345683
628.058,0.000666635
630.17,0.000170135
632.282,-0.000253512
634.427,0.000535058
636.538,0.000735185
638.648,0.001197095
640.791,0.000291892
642.901,0.000756344
645.01,0.00052785
647.151,0.000871734
649.259,-0.000211626
651.367,0.000342321
653.507,0.000188995
655.613,-0.000239334
657.719,0.000371324
659.825,-8.60E-05
661.963,0.000213668
664.067,2.15E-06
666.171,0.000377297
668.308,4.66E-05
670.411,0.000155093
672.514,0.000207577
674.649,-0.000388556
676.75,-0.000496804
678.851,-0.000661087
680.952,-0.000376138
683.085,-0.000795636
685.185,-0.000871825
687.284,-0.000865212
689.415,-0.000427976
691.514,-0.000300131
693.611,-0.000295598
695.709,9.81E-05
697.838,-0.000285735
699.934,-0.001405454
702.03,-0.000328232
704.125,-0.000291814
706.253,5.50E-05
708.347,0.000559098
710.441,-0.000641761
712.534,0.000119598
714.66,-0.00053198
716.752,0.000529614
718.844,0.000995591
720.936,0.001167976
723.059,0.000615934
725.15,0.000964069
727.24,0.00122045
729.329,0.000471872
731.451,0.000550489
733.539,0.000461505
735.627,-0.000675363
737.715,0.000437755
739.802,0.00049155
741.921,0.000661177
744.007,0.000723349
746.093,0.00113611
748.178,0.002250149
750.262,0.001357329
752.379,0.001983109
754.463,0.001097293
756.546,0.002361319
758.628,0.001141863
760.711,0.001734458
762.825,0.00094287
764.906,0.001050132
766.987,0.000622021
769.067,0.000417165
771.147,0.000657432
773.226,0.000707299
775.338,0.000731379
777.416,0.000812696
779.494,0.001749957
781.571,0.002425269
783.648,0.002785678
785.725,0.001763389
787.833,0.002438705
789.908,0.001133021
791.983,0.001064051
794.058,0.000494121
796.132,0.00126111
798.206,0.0011736
800.279,0.001200629
802.384,0.002179552
804.456,0.001944715
806.527,0.00212931
808.599,0.001990464
810.669,0.002281076
812.739,0.002334135
814.809,0.001588549
816.878,0.001979527
818.98,0.001425867
821.048,0.002077482
823.116,0.001604114
825.183,0.002556458
827.25,0.001817003
829.316,0.002121091
831.382,0.001111266
833.448,0.000759952
835.513,0.001258955
837.577,0.001563379
839.641,0.000749998
841.737,0.000858508
843.8,0.00136217
845.863,0.000859679
847.925,0.001203223
849.986,0.000647972
852.048,0.001285151
854.108,0.000836028
856.168,0.000497229
858.228,0.001724451
860.288,0.001932653
862.346,0.00073966
864.405,0.000452837
866.463,0.00085891
868.52,-6.32E-05
870.577,0.000669455
872.633,0.001347845
874.689,0.000848344
876.745,0.000827043
878.8,0.00053534
880.886,0.00036543
882.941,0.001596955
884.994,0.00083758
887.047,0.001997798
889.1,0.001579352
891.152,0.002925913
893.204,0.001626015
895.255,0.002526261
897.306,0.002151297
899.356,0.002330409
901.406,0.002320719
903.455,0.001284879
905.504,0.001238251
907.553,0.002580187
909.601,0.002797209
911.648,0.002367395
913.663,0.002461599
915.71,0.002610336
917.756,0.001538257
919.802,0.002246937
921.847,0.001402723
923.891,0.001728074
925.936,0.001854602
927.979,0.00111386
930.023,0.001339426
932.066,0.001779832
934.108,0.000866301
936.15,0.000992075
938.191,0.001186687
940.232,-6.00E-05
942.273,0.000827699
944.313,0.001722639
946.352,0.001179185
948.391,0.000451212
950.43,-4.68E-06
952.436,0.000751926
954.474,0.001746258
956.511,0.001077465
958.548,0.000885436
960.584,0.00149366
962.62,0.001163025
964.656,0.000928408
966.691,0.000198651
968.725,0.000813059
970.759,0.00057019
972.761,0.000502056
974.794,0.000349579
976.826,0.000492068
978.859,0.000139408
980.89,0.000768767
982.922,0.000111427
984.952,-1.76E-05
986.983,0.000647795
988.981,0.00019686
991.01,0.0009956
993.039,0.00092559
995.067,0.001113315
997.095,0.00166183
999.123,0.001974253
1001.15,0.003934261
1003.145,0.004049318
1005.171,0.003076615
1007.197,0.001127795
1009.222,0.001381918
1011.247,0.000480999
1013.271,0.000563494
1015.263,0.001162774
1017.287,0.000811688
1019.31,0.001004578
1021.332,4.53E-05
1023.354,0.001191558
1025.344,0.000283881
1027.365,0.000267989
1029.386,0.000399568
1031.406,0.001515966
1033.426,0.001138053
1035.413,0.00120962
1037.432,0.001538861
1039.45,0.000448212
1041.468,-0.000224457
1043.486,0.000677394
1045.471,0.001062537
1047.488,0.00040995
1049.504,4.51E-05
1051.519,0.000989905
1053.503,0.000102587
1055.518,0.000719632
1057.532,-0.000212068
1059.546,0.000307628
1061.528,0.000715664
1063.54,-2.28E-05
1065.553,0.000406631
1067.565,0.000199121
1069.545,0.00138144
1071.556,0.000369446
1073.567,0.000230552
1075.545,0.001122204
1077.555,0.001040487
1079.564,0.001585665
1081.573,0.00097282
1083.55,0.00160235
1085.558,0.001295712
1087.565,0.001209446
1089.541,0.00084257
1091.547,0.00150621
1093.553,0.001528529
1095.528,0.00171538
1097.533,0.002530522
1099.538,0.001516297
1101.542,0.001575508
1103.514,0.000966181
1105.518,0.00060009
1107.521,0.001152835
1109.492,0.001181596
1111.494,0.001100032
1113.464,0.000274043
1115.465,6.49E-05
1117.466,0.000154697
1119.435,0.000623723
1121.434,-0.000841158
1123.434,0.000218751
1125.401,-6.70E-05
1127.4,0.000587579
1129.398,-0.000159333
1131.364,0.00066524
1133.361,0.000431877
1135.326,-0.000666193
1137.323,-0.001040157
1139.318,-0.000675705
1141.282,-0.000444542
1143.277,-0.000826174
1145.272,-0.001006159
1147.234,-0.000419105
1149.228,0.000555675
1151.19,-0.000110062
1153.182,-0.00016764
1155.143,-0.000922464
1157.135,-0.000623973
1159.126,-0.001178742
1161.086,-0.000707387
1163.076,-0.00077725
1165.035,-0.000137311
1167.024,-0.000439362
1168.982,-0.000921911
1170.971,2.10E-05
1172.959,0.000289684
1174.916,0.000400751
1176.903,0.000981185
1178.858,-0.000217681
1180.845,0.000394022
1182.8,-0.000444348
1184.785,0.000104181
1186.739,-0.000930467
1188.724,-0.001522902
1190.677,-0.000566671
1192.66,-0.001409729
1194.613,-0.002020957
1196.595,-0.000293375
1198.547,3.86E-05
1200.529,3.56E-05
1202.479,0.000450491
1204.46,0.000175592
1206.41,0.000677965
1208.39,0.001496725
1210.339,0.000997266
1212.318,0.001425416
1214.266,0.001578839
1216.244,0.001690864
1218.191,0.001817326
1220.169,0.001772162
1222.115,0.001538209
1224.091,0.002765844
1226.037,0.001470161
1227.981,0.002056913
1229.957,0.0036401
1231.901,0.003173789
1233.875,0.002723453
1235.818,0.001931263
1237.792,0.003033024
1239.734,0.002713707
1241.706,0.002288749
1243.648,0.001962847
1245.589,0.002481754
1247.56,0.002136432
1249.5,0.001692674
1251.471,0.002617641
1253.41,0.003023372
1255.349,0.003319251
1257.318,0.00171322
1259.256,0.001840956
1261.224,0.001818795
1263.161,0.002090471
1265.098,0.001715587
1267.065,0.001537229
1269,0.001678505
1270.936,0.001963368
1272.901,0.002086946
1274.836,0.002620366
1276.77,0.00178445
1278.734,0.002825546
1280.667,0.002676248
1282.631,0.004275158
1284.563,0.004424616
1286.495,0.004057882
1288.457,0.004656429
1290.388,0.004622862
1292.319,0.004634226
